event,scenario,main_character,emotion1,emotion2,emotion3,emotion4,answer,context_type
Alex spent a lot of time thinking about the things he did wrong.,Alex spent a lot of time thinking about the things he did wrong the night before his big presentation.,Alex,Embarrassment,Sadness,Lonesomeness,Anxiety,Anxiety,time
Alex spent a lot of time thinking about the things he did wrong.,Alex spent a lot of time thinking about the things he did wrong after a recent breakup.,Alex,Embarrassment,Sadness,Lonesomeness,Anxiety,Sadness,time
Casey paid the tab at dinner for friend.,"Casey, who is financially secure, paid the tab for a friend who recently lost their job.",Casey,Annoyance,Frustration,Sympathy,Admiration,Sympathy,agent
Casey paid the tab at dinner for friend.,Casey paid the tab for a friend who forgot their wallet but habitually expects Casey to cover expenses.,Casey,Annoyance,Frustration,Sympathy,Admiration,Annoyance,agent
"Jordan gave Riley the letter, letting Riley know they were breaking up with them.","Jordan gave Riley the letter, letting Riley know they were breaking up with them infront of her friends in college classroom",Riley,Sadness,Embarrassment,Lonesomeness,Shame,Embarrassment,place
"Jordan gave Riley the letter, letting Riley know they were breaking up with them.","Jordan gave Riley the letter, letting Riley know they were breaking up with them in a private place which  is  Riley's home",Riley,Sadness,Embarrassment,Lonesomeness,Shame,Sadness,place
Bailey was performing for a group. Bailey started to play.,"Bailey, a novice musician, was performing for a group of world-renowned composers. Bailey started to play.",Bailey,Pride,Intimidation,Serenity,Terror,Intimidation,agent
Bailey was performing for a group. Bailey started to play.,"Bailey, a skilled pianist, was performing for a group of elementary school children. Bailey started to play.",Bailey,Pride,Intimidation,Serenity,Terror,Pride,agent
Sasha cooked the deli food for her friends,"Sasha cooked the deli food for her friends, but one of the friends, but one of the friends brought an unexpected guest who turned out to be a professional chef.",Sasha,Joy,Gratitude,Anxiety,Embarrassment,Anxiety,agent
Sasha cooked the deli food for her friends,"Sasha cooked the deli food for her friends, and one of the friends brought a bouquet of flowers as a surprise thank-you gift.",Sasha,Joy,Gratitude,Anxiety,Embarrassment,Gratitude,agent
Skylar had her first dance coming up so she went dress shopping.,"Skylar had her first dance coming up, so she went dress shopping in a crowded thrift store with limited option.",Skylar,Disgust,Ecstasy,Interest,Frustration,Frustration,time
Skylar had her first dance coming up so she went dress shopping.,"Skylar had her first dance coming up, so she went dress shopping in a luxurious designer boutique with an attentive sales assistant.",Skylar,Disgust,Ecstasy,Interest,Frustration,Ecstasy,time
Jesse brought the show to a close.,Jesse brought the show to a close after an encore performance that delighted the audience.,Jesse,Discouragement,Displeasure,Pride,Joy,Pride,place
Jesse brought the show to a close.,Jesse brought the show to a close due to a sudden technical failure midway through the performance,Jesse,Discouragement,Displeasure,Pride,Joy,Discouragement,place
Addison gave a hug to Skylar's son.,Addison gave a hug to Skylar's son at Skylar's funeral,Addison,Joy,Gratitude,Sympathy,Sadness,Sympathy,agent
Addison gave a hug to Skylar's son.,Addison gave a hug to Skylar's son at college cafeteria for securing a gold medal in studies,Addison,Joy,Gratitude,Sympathy,Sadness,Joy,agent
Robin celebrated her favorite by planting a new tree in the backyard.,"Robin planted the tree in a lush, vibrant backyard where the sun shone brightly, and butterflies fluttered around a nearby garden bed. ",Robin,Determination,Gratitude,Grief,Serenity,Serenity,time
Robin celebrated her favorite by planting a new tree in the backyard.,"Robin planted the tree in a backyard littered with debris from a recent storm, with uprooted plants and the sound of distance in the background. ",Robin,Determination,Gratitude,Grief,Serenity,Grief,time
Kendall liked to bend the truth from time to time. Kendall told Aubrey tall tales.,"Kendall told Aubrey tall tales at a family gathering, in front of relatives.",Kendall,Interest,Guilt,Embarrassment,Pride,Embarrassment,time
Kendall liked to bend the truth from time to time. Kendall told Aubrey tall tales.,"Kendall told Aubrey tall tales in a private conversation, just the two of them",Kendall,Interest,Guilt,Embarrassment,Pride,Guilt,time
Austin drove home at night.,"Austin drove home at night through a dense, unfamiliar forest with winding roads.",Austin,Concern,Serenity,Anxiety,Admiration,Anxiety,time
Austin drove home at night.,Austin drove home at night along a well-lit coastal highway with breathtaking ocean views.,Austin,Concern,Serenity,Anxiety,Admiration,Serenity,time
Cameron decided to have a barbecue and gathered her friends together.,"Cameron decided to have a barbecue and gathered her friends together at her small, cramped apartment. It was difficult to find space for everyone, and the atmosphere felt uncomfortable.",Cameron,Determination,Displeasure,Awe,Joy,Displeasure,place
Cameron decided to have a barbecue and gathered her friends together.,"Cameron decided to have a barbecue and gathered her friends together at a spacious park with a beautiful view, where everyone had plenty of room to enjoy themselves.",Cameron,Determination,Displeasure,Awe,Joy,Joy,place
Quinn wanted to help me clean my room up because it was so messy.,My roommate Quinn wanted to help me clean my room up because it was so messy.,Me,Gratitude,Annoyance,Impatience,Disapproval,Gratitude,agent
Quinn wanted to help me clean my room up because it was so messy.,My nosy neighbor Quinn wanted to help me clean my room up because it was so messy.,Me,Gratitude,Annoyance,Impatience,Disapproval,Annoyance,agent
Aubrey succeeded at what they were trying to do and felt like a success.,Aubrey succeeded at what they were trying to do after receiving constant encouragement and support from their mentor.,Aubrey,Determination,Contempt,Admiration,Serenity,Admiration,agent
Aubrey succeeded at what they were trying to do and felt like a success.,Aubrey succeeded at what they were trying to do despite being sabotaged by a competitive colleague.,Aubrey,Determination,Contempt,Admiration,Serenity,Determination,agent
Addison bid Carson goodbye before the ship left the dock.,Addison bid Carson goodbye before the ship left the dock in a busy harbor.,Addison,Exhaustion,Concern,Serenity,Sadness,Sadness,place
Addison bid Carson goodbye before the ship left the dock.,Addison bid Carson goodbye before the ship left the dock in the middle of a storm.,Addison,Exhaustion,Concern,Serenity,Sadness,Concern,place
Carson was very passionate about this topic so he drove home his point.,Carson was very passionate about this topic so he drove home his point during a televised debate with a large audience.,Carson,Determination,Vigilance,Admiration,Serenity,Determination,place
Carson was very passionate about this topic so he drove home his point.,Carson was very passionate about this topic so he drove home his point in a small study group with close friends.,Carson,Determination,Vigilance,Admiration,Serenity,Determination,place
Tracy protected her teammates from injury when she saw an accident about to happen prevented it.,Tracy protected her teammates from injury when she saw an accident about to happen and prevented it during a crucial championship game with thousands of spectators watching.,Tracy,Admiration,Pride,Serenity,Suspicion,Pride,place
Tracy protected her teammates from injury when she saw an accident about to happen prevented it.,Tracy protected her teammates from injury when she saw an accident about to happen and prevented it during a routine practice session with only the coach present.,Tracy,Admiration,Pride,Serenity,Suspicion,Pride,place
"During their yearbook class, Alex took an old photo of herself and Quin, and crossed out Quinn's face on the photograph. Quinn saw her do this.","During their yearbook class, Alex took an old photo of herself and Quin, and crossed out Quinn's face on the photograph in front of their classmates. Quinn saw her do this.",Quinn,Disgust,Terror,Anger,Disapproval,Anger,agent
"During their yearbook class, Alex took an old photo of herself and Quin, and crossed out Quinn's face on the photograph. Quinn saw her do this.","During their yearbook class, Alex took an old photo of herself and Quin, and crossed out Quinn's face on the photograph while they were alone in the classroom. Quinn saw her do this.",Quinn,Disgust,Terror,Anger,Disapproval,Anger,agent
Robin had watched their partner Alex perform in a play and had loved it.,"Robin had watched their partner Alex perform in a play during the opening night, surrounded by a supportive audience.",Robin,Interest,Admiration,Anticipation,Grief,Admiration,place
Robin had watched their partner Alex perform in a play and had loved it.,"Robin had watched their partner Alex perform in a play on a rainy night, with only a few friends and family present in the audience.",Robin,Interest,Admiration,Anticipation,Grief,Admiration,place
Jesse lost every penny gambling on sports.,"Jesse, a professional athlete, lost every penny gambling on sports.",Jesse,Indifference,Embarrassment,Shame,Anxiety,Shame,agent
Jesse lost every penny gambling on sports.,"Jesse, a lottery winner with millions to spare, lost every penny gambling on sports.",Jesse,Indifference,Embarrassment,Shame,Anxiety,Shame,agent
Sydney played basketball with her friends after school on a sunny afternoon.,Sydney played basketball with her friends after school on a sunny afternoon at a newly renovated community court with professional-grade equipment.,Sydney,Interest,Disapproval,Ecstasy,Acceptance,Ecstasy,place
Sydney played basketball with her friends after school on a sunny afternoon.,Sydney played basketball with her friends after school on a sunny afternoon in a run-down court with broken hoops and cracked pavement.,Sydney,Interest,Disapproval,Ecstasy,Acceptance,Acceptance,place
Sasha wanted to lose some weight before their cheer competition.,"Sasha decided to start her weight loss journey two days before the cheer competition, feeling the pressure of time.",Sasha,Comfortableness,Anxiety,Optimism,Pride,Anxiety,place
Sasha wanted to lose some weight before their cheer competition.,"Sasha had been working on her fitness and diet plan for six months, feeling confident about her progress before the cheer competition.",Sasha,Comfortableness,Anxiety,Optimism,Pride,Optimism,place
When pass the test after studying all night with no sleep.,"When pass the test after studying all night with no sleep, just before the start of summer vacation.",Student,Amazement,Concern,Relief,Ecstasy,Relief,place
When pass the test after studying all night with no sleep.,"When pass the test after studying all night with no sleep, immediately before another crucial exam begins.",Student,Amazement,Concern,Relief,Ecstasy,Relief,place
Jordan told Riley's boyfriend yes to going to the movies with them as a coupl.,"Jordan told Riley's boyfriend yes to going to the movies with them as a couple, and Riley's boyfriend is Jordan's long-time friend.",Jordan,Trust,Amazement,Pensiveness,Vigilance,Trust,agent
Jordan told Riley's boyfriend yes to going to the movies with them as a coupl.,"Jordan told Riley's boyfriend yes to going to the movies with them as a couple, and Riley's boyfriend is someone Jordan has had past disagreements with.",Jordan,Trust,Amazement,Pensiveness,Vigilance,Vigilance,agent
